#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000013425.1	PRJNA237	SAMN02604235		reference genome	93061	1280	Staphylococcus aureus subsp. aureus NCTC 8325	strain=NCTC 8325		latest	Complete Genome	Major	Full	2006/02/13	ASM1342v1	University of Oklahoma Health Sciences Center	GCF_000013425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1		
GCA_000013465.1	PRJNA16313	SAMN02604150		na	451515	1280	Staphylococcus aureus subsp. aureus USA300_FPR3757	strain=USA300_FPR3757		latest	Complete Genome	Major	Full	2006/02/10	ASM1346v1	University of California, San Francisco	GCF_000013465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/465/GCA_000013465.1_ASM1346v1		
GCA_000016805.1	PRJNA15757	SAMN02598343		na	359786	1280	Staphylococcus aureus subsp. aureus JH9	strain=JH9		latest	Complete Genome	Major	Full	2007/05/18	ASM1680v1	US DOE Joint Genome Institute	GCF_000016805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/805/GCA_000016805.1_ASM1680v1		
GCA_000017085.1	PRJNA19489	SAMN00253845		na	451516	1280	Staphylococcus aureus subsp. aureus USA300_TCH1516	strain=TCH1516		latest	Complete Genome	Major	Full	2009/03/24	ASM1708v1	Baylor College of Medicine	GCF_000017085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/085/GCA_000017085.1_ASM1708v1		
GCA_000017125.1	PRJNA15758	SAMN02598344		na	359787	1280	Staphylococcus aureus subsp. aureus JH1	strain=JH1		latest	Complete Genome	Major	Full	2007/06/28	ASM1712v1	US DOE Joint Genome Institute	GCF_000017125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/125/GCA_000017125.1_ASM1712v1		
GCA_000024585.1	PRJNA39547	SAMN02604165		na	681288	1280	Staphylococcus aureus subsp. aureus ED98	strain=ED98		latest	Complete Genome	Major	Full	2009/10/27	ASM2458v1	University of Edinburgh	GCF_000024585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/585/GCA_000024585.1_ASM2458v1		
GCA_000025145.2	PRJNA34809	SAMN02603764		na	703339	1280	Staphylococcus aureus 04-02981	strain=04-02981		latest	Complete Genome	Major	Full	2010/11/05	ASM2514v1	Robert Koch Institut	GCF_000025145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/145/GCA_000025145.2_ASM2514v1		
GCA_000027045.1	PRJEA36647	SAMEA2272282		na	663951	1280	Staphylococcus aureus subsp. aureus TW20	strain=TW20		latest	Complete Genome	Major	Full	2009/11/25	ASM2704v1	The Wellcome Trust Sanger Institute	GCF_000027045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/045/GCA_000027045.1_ASM2704v1		
GCA_000144955.1	PRJNA50759	SAMN02604217		na	869816	1280	Staphylococcus aureus subsp. aureus JKD6159	strain=JKD6159		latest	Complete Genome	Major	Full	2010/08/23	ASM14495v1	University of Melbourne	GCF_000144955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/955/GCA_000144955.1_ASM14495v1		
GCA_000145595.1	PRJNA29567	SAMN02603619		na	546342	1280	Staphylococcus aureus subsp. aureus str. JKD6008	strain=JKD6008		latest	Complete Genome	Major	Full	2010/08/13	ASM14559v1	Monash University	GCF_000145595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/595/GCA_000145595.1_ASM14559v1		
GCA_000146385.1	PRJNA50533	SAMN00117207	AEEK00000000.1	na	862516	1280	Staphylococcus aureus subsp. aureus ATCC BAA-39	strain=ATCC BAA-39		latest	Scaffold	Major	Full	2010/08/27	ASM14638v1	Baylor College of Medicine	GCF_000146385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/385/GCA_000146385.1_ASM14638v1		
GCA_000149015.1	PRJNA31543	SAMN00001489	ACHH00000000.2	na	548475	1280	Staphylococcus aureus subsp. aureus TCH70	strain=TCH70		latest	Scaffold	Major	Full	2010/11/05	ASM14901v1	Baylor College of Medicine	GCF_000149015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/015/GCA_000149015.1_ASM14901v1		
GCA_000153665.1	PRJNA19921	SAMN00001491	AASB00000000.2	na	450394	1280	Staphylococcus aureus subsp. aureus USA300_TCH959	strain=USA300_TCH959		latest	Scaffold	Major	Full	2009/08/12	ASM15366v1	Baylor College of Medicine	GCF_000153665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/665/GCA_000153665.1_ASM15366v1		
GCA_000159535.2	PRJNA31539	SAMN00002240		na	548473	1280	Staphylococcus aureus subsp. aureus TCH60	strain=TCH60		latest	Complete Genome	Major	Full	2010/11/23	ASM15953v2	Baylor College of Medicine	GCF_000159535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/535/GCA_000159535.2_ASM15953v2		
GCA_000159555.1	PRJNA31541	SAMN00001490	ACHD00000000.1	na	548474	1280	Staphylococcus aureus subsp. aureus TCH130	strain=TCH130		latest	Scaffold	Major	Full	2009/08/12	ASM15955v1	BCM	GCF_000159555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/555/GCA_000159555.1_ASM15955v1		
GCA_000160195.1	PRJNA31533	SAMN00001499	ACJA00000000.2	na	548470	1280	Staphylococcus aureus subsp. aureus MN8	strain=MN8		latest	Chromosome	Major	Full	2010/06/17	ASM16019v1	BCM	GCF_000160195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/195/GCA_000160195.1_ASM16019v1		
GCA_000160335.2	PRJNA34891	SAMN00103091		na	585143	1280	Staphylococcus aureus subsp. aureus 55/2053	strain=55/2053		latest	Complete Genome	Major	Full	2013/08/21	ASM16033v2	Broad Institute	GCF_000160335.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/335/GCA_000160335.2_ASM16033v2		
GCA_000160355.1	PRJNA34893	SAMN02595313	ACJS00000000.1	na	585145	1280	Staphylococcus aureus subsp. aureus 65-1322	strain=65-1322		latest	Scaffold	Major	Full	2009/09/04	ASM16035v1	Broad Institute	GCF_000160355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/355/GCA_000160355.1_ASM16035v1		
GCA_000160375.1	PRJNA34895	SAMN02595314	ACJT00000000.1	na	585146	1280	Staphylococcus aureus subsp. aureus 68-397	strain=68-397		latest	Scaffold	Major	Full	2009/09/04	ASM16037v1	Broad Institute	GCF_000160375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/375/GCA_000160375.1_ASM16037v1		
GCA_000160395.1	PRJNA34897	SAMN02595315	ACJU00000000.1	na	585153	1280	Staphylococcus aureus subsp. aureus E1410	strain=E1410		latest	Scaffold	Major	Full	2009/09/04	ASM16039v1	Broad Institute	GCF_000160395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/395/GCA_000160395.1_ASM16039v1		
GCA_000160415.1	PRJNA34899	SAMN02595316	ACJV00000000.1	na	585158	1280	Staphylococcus aureus subsp. aureus M876	strain=M876		latest	Scaffold	Major	Full	2009/09/04	ASM16041v1	Broad Institute	GCF_000160415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/415/GCA_000160415.1_ASM16041v1		
GCA_000162595.1	PRJNA39227	SAMN02595338	ACSP00000000.1	na	585149	1280	Staphylococcus aureus subsp. aureus C101	strain=C101		latest	Scaffold	Major	Full	2009/12/29	ASM16259v1	Broad Institute	GCF_000162595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/595/GCA_000162595.1_ASM16259v1		
GCA_000162615.1	PRJNA39229	SAMN02595339	ACSQ00000000.1	na	585151	1280	Staphylococcus aureus subsp. aureus C427	strain=C427		latest	Scaffold	Major	Full	2009/12/29	ASM16261v1	Broad Institute	GCF_000162615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/615/GCA_000162615.1_ASM16261v1		
GCA_000162635.1	PRJNA39231	SAMN02595340	ACSR00000000.1	na	585152	1280	Staphylococcus aureus subsp. aureus D139	strain=D139		latest	Scaffold	Major	Full	2009/12/29	ASM16263v1	Broad Institute	GCF_000162635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/635/GCA_000162635.1_ASM16263v1		
GCA_000162655.1	PRJNA39233	SAMN02595341	ACSS00000000.1	na	585155	1280	Staphylococcus aureus subsp. aureus H19	strain=H19		latest	Scaffold	Major	Full	2010/01/07	ASM16265v1	Broad Institute	GCF_000162655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/655/GCA_000162655.1_ASM16265v1		
GCA_000162675.1	PRJNA39237	SAMN02595342	ACST00000000.1	na	585156	1280	Staphylococcus aureus subsp. aureus M1015	strain=M1015		latest	Scaffold	Major	Full	2010/03/11	ASM16267v1	Broad Institute	GCF_000162675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/675/GCA_000162675.1_ASM16267v1		
GCA_000162695.1	PRJNA39239	SAMN02595343	ACSU00000000.1	na	585159	1280	Staphylococcus aureus subsp. aureus M899	strain=M899		latest	Scaffold	Major	Full	2009/12/29	ASM16269v1	Broad Institute	GCF_000162695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/695/GCA_000162695.1_ASM16269v1		
GCA_000162715.1	PRJNA39241	SAMN02595344	ACSV00000000.1	na	585160	1280	Staphylococcus aureus subsp. aureus WBG10049	strain=WBG10049		latest	Scaffold	Major	Full	2009/12/29	ASM16271v1	Broad Institute	GCF_000162715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/715/GCA_000162715.1_ASM16271v1		
GCA_000162735.1	PRJNA39243	SAMN02595345	ACSW00000000.1	na	585161	1280	Staphylococcus aureus subsp. aureus WW2703/97	strain=WW2703/97		latest	Scaffold	Major	Full	2009/12/29	ASM16273v1	Broad Institute	GCF_000162735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/735/GCA_000162735.1_ASM16273v1		
GCA_000162795.1	PRJNA39525	SAMN02595350	ACUS00000000.1	na	585157	1280	Staphylococcus aureus subsp. aureus M809	strain=M809		latest	Scaffold	Major	Full	2010/03/24	ASM16279v1	Broad Institute	GCF_000162795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/795/GCA_000162795.1_ASM16279v1		
GCA_000162815.1	PRJNA39527	SAMN02595351	ACUT00000000.1	na	585144	1280	Staphylococcus aureus subsp. aureus 58-424	strain=58-424		latest	Scaffold	Major	Full	2010/03/16	ASM16281v1	Broad Institute	GCF_000162815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/815/GCA_000162815.1_ASM16281v1		
GCA_000162835.1	PRJNA39529	SAMN02595352	ACUU00000000.1	na	585148	1280	Staphylococcus aureus subsp. aureus Btn1260	strain=Btn1260		latest	Scaffold	Major	Full	2009/12/29	ASM16283v1	Broad Institute	GCF_000162835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/835/GCA_000162835.1_ASM16283v1		
GCA_000162855.1	PRJNA39531	SAMN02595353	ACUV00000000.1	na	585150	1280	Staphylococcus aureus subsp. aureus C160	strain=C160		latest	Scaffold	Major	Full	2009/12/30	ASM16285v1	Broad Institute	GCF_000162855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/855/GCA_000162855.1_ASM16285v1		
GCA_000163335.1	PRJNA40307	SAMN02595362	ACYP00000000.1	na	585147	1280	Staphylococcus aureus subsp. aureus A017934/97	strain=A017934/97		latest	Scaffold	Major	Full	2010/01/12	ASM16333v1	Broad Institute	GCF_000163335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/335/GCA_000163335.1_ASM16333v1		
GCA_000163575.1	PRJNA41351	SAMN02595365	ADAT00000000.1	na	585154	1280	Staphylococcus aureus subsp. aureus EMRSA16	strain=EMRSA16		latest	Scaffold	Major	Full	2010/04/23	ASM16357v1	Broad Institute	GCF_000163575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/575/GCA_000163575.1_ASM16357v1		
GCA_000164715.1	PRJNA48445	SAMN00139434	ADVP00000000.1	na	762962	1280	Staphylococcus aureus subsp. aureus ATCC 51811	strain=ATCC 51811		latest	Scaffold	Major	Full	2010/05/28	ASM16471v1	Baylor College of Medicine	GCF_000164715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/715/GCA_000164715.1_ASM16471v1		
GCA_000171435.1	PRJNA20007	SAMN02471355	ABFA00000000.1	na	452948	1280	Staphylococcus aureus 930918-3	strain=930918-3		latest	Contig	Major	Full	2009/09/24	ASM17143v1	University of Central Florida	GCF_000171435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/435/GCA_000171435.1_ASM17143v1		
GCA_000171455.1	PRJNA19993	SAMN02471356	ABFB00000000.1	na	455227	1280	Staphylococcus aureus D30	strain=D30		latest	Contig	Major	Full	2009/09/24	ASM17145v1	University of Central Florida	GCF_000171455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/455/GCA_000171455.1_ASM17145v1		
GCA_000172855.1	PRJNA29569	SAMN02470553	ABSA00000000.1	na	546343	1280	Staphylococcus aureus subsp. aureus str. JKD6009	strain=JKD6009		latest	Contig	Major	Full	2008/07/10	ASM17285v1	Monash University	GCF_000172855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/855/GCA_000172855.1_ASM17285v1		
GCA_000174455.1	PRJNA36465	SAMN02595317	ACKC00000000.1	na	553565	1280	Staphylococcus aureus A5937	strain=A5937		latest	Contig	Major	Full	2009/09/11	ASM17445v1	Broad Institute	GCF_000174455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/455/GCA_000174455.1_ASM17445v1		
GCA_000174475.1	PRJNA36467	SAMN02595318	ACKD00000000.1	na	553567	1280	Staphylococcus aureus A5948	strain=A5948		latest	Contig	Major	Full	2009/09/11	ASM17447v1	Broad Institute	GCF_000174475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/475/GCA_000174475.1_ASM17447v1		
GCA_000174495.1	PRJNA36469	SAMN02595319	ACKE00000000.1	na	553568	1280	Staphylococcus aureus A6224	strain=A6224		latest	Contig	Major	Full	2009/09/11	ASM17449v1	Broad Institute	GCF_000174495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/495/GCA_000174495.1_ASM17449v1		
GCA_000174515.1	PRJNA36471	SAMN02595320	ACKF00000000.1	na	553571	1280	Staphylococcus aureus A6300	strain=A6300		latest	Contig	Major	Full	2009/09/11	ASM17451v1	Broad Institute	GCF_000174515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/515/GCA_000174515.1_ASM17451v1		
GCA_000174535.1	PRJNA36473	SAMN02595321	ACKG00000000.1	na	553573	1280	Staphylococcus aureus A8115	strain=A8115		latest	Contig	Major	Full	2009/09/11	ASM17453v1	Broad Institute	GCF_000174535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/535/GCA_000174535.1_ASM17453v1		
GCA_000174555.1	PRJNA36475	SAMN02595322	ACKH00000000.1	na	553581	1280	Staphylococcus aureus A9299	strain=A9299		latest	Contig	Major	Full	2009/09/11	ASM17455v1	Broad Institute	GCF_000174555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/555/GCA_000174555.1_ASM17455v1		
GCA_000174575.1	PRJNA36477	SAMN02595323	ACKI00000000.1	na	553583	1280	Staphylococcus aureus A9635	strain=A9635		latest	Contig	Major	Full	2009/09/11	ASM17457v1	Broad Institute	GCF_000174575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/575/GCA_000174575.1_ASM17457v1		
GCA_000174595.1	PRJNA36479	SAMN02595324	ACKJ00000000.1	na	553588	1280	Staphylococcus aureus A9719	strain=A9719		latest	Contig	Major	Full	2009/09/11	ASM17459v1	Broad Institute	GCF_000174595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/595/GCA_000174595.1_ASM17459v1		
GCA_000174615.1	PRJNA36481	SAMN02595325	ACKK00000000.1	na	553592	1280	Staphylococcus aureus A9763	strain=A9763		latest	Contig	Major	Full	2009/09/11	ASM17461v1	Broad Institute	GCF_000174615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/615/GCA_000174615.1_ASM17461v1		
GCA_000174635.1	PRJNA36483	SAMN02595326	ACKL00000000.1	na	553596	1280	Staphylococcus aureus A9781	strain=A9781		latest	Contig	Major	Full	2009/08/21	ASM17463v1	Broad Institute	GCF_000174635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/635/GCA_000174635.1_ASM17463v1		
GCA_000174955.1	PRJNA37915	SAMN02471370	ACOT00000000.1	na	644279	1280	Staphylococcus aureus subsp. aureus 132	strain=132		latest	Contig	Major	Full	2009/07/16	ASM17495v1	Universidad Pública de Navarra	GCF_000174955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/955/GCA_000174955.1_ASM17495v1		
GCA_000175475.1	PRJNA39221	SAMN02595336	ACSN00000000.1	na	553594	1280	Staphylococcus aureus A9765	strain=A9765		latest	Contig	Major	Full	2009/12/30	ASM17547v1	Broad Institute	GCF_000175475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/475/GCA_000175475.1_ASM17547v1		
GCA_000175495.1	PRJNA39223	SAMN02595337	ACSO00000000.1	na	553601	1280	Staphylococcus aureus A10102	strain=A10102		latest	Contig	Major	Full	2009/12/30	ASM17549v1	Broad Institute	GCF_000175495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/495/GCA_000175495.1_ASM17549v1		
GCA_000175955.1	PRJNA40181	SAMN02595361	ACYO00000000.1	na	553574	1280	Staphylococcus aureus A8117	strain=A8117		latest	Contig	Major	Full	2009/12/31	ASM17595v1	Broad Institute	GCF_000175955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/955/GCA_000175955.1_ASM17595v1		
GCA_000176195.1	PRJNA40705	SAMN02471722	ACZQ00000000.1	na	680649	1280	Staphylococcus aureus subsp. aureus MR1	strain=MR1		latest	Contig	Major	Full	2009/10/26	ASM17619v1	University of Edinburgh	GCF_000176195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/195/GCA_000176195.1_ASM17619v1		
GCA_000177995.1	PRJNA43713	SAMN02595392	ADJI00000000.1	na	553590	1280	Staphylococcus aureus A9754	strain=A9754		latest	Contig	Major	Full	2010/04/16	ASM17799v1	Broad Institute	GCF_000177995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/995/GCA_000177995.1_ASM17799v1		
GCA_000178015.1	PRJNA43715	SAMN02595393	ADJJ00000000.1	na	553577	1280	Staphylococcus aureus A8796	strain=A8796		latest	Contig	Major	Full	2010/05/28	ASM17801v1	Broad Institute	GCF_000178015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/015/GCA_000178015.1_ASM17801v1		
GCA_000178035.1	PRJNA43719	SAMN02595394	ADJK00000000.1	na	553580	1280	Staphylococcus aureus A8819	strain=A8819		latest	Contig	Major	Full	2010/04/20	ASM17803v1	Broad Institute	GCF_000178035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/035/GCA_000178035.1_ASM17803v1		
GCA_000180095.1	PRJDA33445	SAMD00036539	BABM00000000.1	na	585891	1280	Staphylococcus aureus subsp. aureus Mu50-omega	strain=Mu50-omega		latest	Contig	Major	Full	2009/01/12	ASM18009v1	Juntendo University	GCF_000180095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/095/GCA_000180095.1_ASM18009v1		
GCA_000180395.1	PRJEA28687	SAMEA2272209	CABA00000000.1	na	505321	1280	Staphylococcus aureus subsp. aureus str. CF-Marseille	strain=CF-Marseille		latest	Contig	Major	Full	2008/08/14	ASM18039v1	Genomic Research Laboratory, Division of Infectious Diseases, Geneva University Hospitals	GCF_000180395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/395/GCA_000180395.1_ASM18039v1		
GCA_000187145.1	PRJNA47281	SAMN00189156	AECR00000000.1	na	754025	1280	Staphylococcus aureus subsp. aureus MRSA131	strain=MRSA131		latest	Scaffold	Major	Full	2011/01/29	ASM18714v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000187145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/145/GCA_000187145.1_ASM18714v1		
GCA_000187165.1	PRJNA47283	SAMN00189157	AECP00000000.1	na	754026	1280	Staphylococcus aureus subsp. aureus MRSA177	strain=MRSA177		latest	Scaffold	Major	Full	2011/01/29	ASM18716v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCF_000187165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/165/GCA_000187165.1_ASM18716v1		
GCA_000189435.3	PRJNA62079	SAMN02469935		na	948561	1280	Staphylococcus aureus O11	strain=O11		latest	Complete Genome	Major	Full	2017/11/13	ASM18943v3	INRA	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/435/GCA_000189435.3_ASM18943v3	missing tRNA genes	
GCA_000189455.3	PRJNA62081	SAMN02469934		na	948563	1280	Staphylococcus aureus O46	strain=O46		latest	Complete Genome	Major	Full	2017/12/20	ASM18945v3	INRA	GCF_000189455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/455/GCA_000189455.3_ASM18945v3		
GCA_000193835.2	PRJNA30107	SAMN02393771	ABWS00000000.1	na	543538	1280	Staphylococcus aureus subsp. aureus CGS00	strain=CGS00		latest	Contig	Major	Full	2010/12/17	ASM19383v2	Center for Genomic Sciences, Allegheny-Singer Research Institute	GCF_000193835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/835/GCA_000193835.2_ASM19383v2		
GCA_000193855.2	PRJNA30103	SAMN02393769	ABWT00000000.1	na	543539	1280	Staphylococcus aureus subsp. aureus CGS01	strain=CGS01		latest	Contig	Major	Full	2010/12/17	ASM19385v2	Center for Genomic Sciences, Allegheny-Singer Research Institute	GCF_000193855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/855/GCA_000193855.2_ASM19385v2		
